text, rules, percent
Re: Proposed rule titled: Computer -Security Incident Notification Requirements for Banking ,"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.7316995859146118,TopicPresent
Re: Proposed rule titled: Computer -Security Incident Notification Requirements for Banking ,"2301 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  512 U.S.C. 1861–67.   6Bank service providers would include both bank  service companies and third-party providers under  the BSCA.   7These computer-security incidents may include  major computer-system failures, cyber-related interruptions, such as coordinated denial of service and ransomware attacks, or other types of significant operational interruptions.",0.6522984504699707,
"Office of the Comptroller of the Currency,  ","This section of the FEDERAL REGISTER contains notices to the public of the proposedissuance of rules and regulations. Thepurpose of these notices is to give interestedpersons an opportunity to participate in therule making prior to the adoption of the finalrules. Proposed RulesFederal Register2299  Vol. 86, No. 7  Tuesday, January 12, 2021  DEPARTMENT OF THE TREASURY  Office of the Comptroller of the  Currency  12 CFR Part 53  ",0.6314704418182373,
proposed rule titled “ Computer -Security Incident Notificatio n Requirements for Banking ,"2301 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  512 U.S.C. 1861–67.   6Bank service providers would include both bank  service companies and third-party providers under  the BSCA.   7These computer-security incidents may include  major computer-system failures, cyber-related interruptions, such as coordinated denial of service and ransomware attacks, or other types of significant operational interruptions.",0.6290284991264343,
"Currently, the proposed rule defines a computer -security incident as an occurrence that (i) results ","2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6047550439834595,
proposed rule titled “ Computer -Security Incident Notificatio n Requirements for Banking ,"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6015316843986511,
benefits of increased capacity for appropriate agencies  to view defects in the banking system ,"2301 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  512 U.S.C. 1861–67.   6Bank service providers would include both bank  service companies and third-party providers under  the BSCA.   7These computer-security incidents may include  major computer-system failures, cyber-related interruptions, such as coordinated denial of service and ransomware attacks, or other types of significant operational interruptions.",0.5923102498054504,
"the Federal Reserve System, and the Federal Deposit Insurance Corporation  regarding the ","2308 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  29See 13 CFR 121.201; 84 FR 34261 (July 18,  2019).   30State member bank data is derived from March  31, 2020 Call Reports. Data for bank holding  companies and savings and loan holding companies are derived from the June 30, 2020, FR Y–9C and FR Y–9SP.",0.5902608633041382,
"I. I write in support the proposed rule.  First, notification s under the current regulatory ","2306 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  FMUs? For designated FMUs for which  the Board is the Supervisory Agency under Title VIII of the Dodd-Frank Act, would notification requirements best be conveyed through this proposed rule or through amendments to the Board’s Regulation HH?   7.",0.5848601460456848,
"which would inevitably be identified through  the rule’s  targeted notification process.  Third, the notification requirements would, after a sufficient time, provide a substantial amount ","2306 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  FMUs? For designated FMUs for which  the Board is the Supervisory Agency under Title VIII of the Dodd-Frank Act, would notification requirements best be conveyed through this proposed rule or through amendments to the Board’s Regulation HH?   7.",0.584442675113678,
