text, matching, percent,processed_text,matching_topics
"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6459464430809021,TopicPresent,Federal Register Vol Tuesday January Proposed Rules policy security procedure acceptable use policy notification incident computer security incident banking organization believe good faith materially disrupt degrade impair ability banking organization carry banking operation activity process deliver banking product service material portion customer base ordinary course business ii business line banking organization include associated operation service function support result material loss revenue profit franchise value iii operation banking organization include associate service function support applicable failure discontinuance pose threat financial stability United States,[]
"2300 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  1See Federal Bureau of Investigation, internet  Crime Complaint Center, 2019 internet Crime  Report at 5 (last accessed Sept. 4, 2020), available  at https://pdf.ic3.gov/2019_ IC3Report.pdf. 2See Cybercriminals and Fraudsters: How Bad  Actors Are Exploiting the Financial System During the COVID–19 Pandemic: Virtual Hearing Before the Subcommittee on National Security, International Development and Monetary Policy of the U.S. House Committee on Financial Services 116th Congress (2020) (written statement of Tom Kellerman, Head of Cybersecurity Strategy, VMware, Inc.), available at https://financialservices.house.gov/uploadedfiles/hhrg- 116-ba10-wstate-kellermannt-20200616.pdf.   3As defined by the proposed rule, a computer-  security incident is an occurrence that results in actual or potential harm to the confidentiality, integrity, or availability of an information system or the information that the system processes, stores, or transmits; or constitutes a violation or imminent threat of violation of security policies, security procedures, or acceptable use policies.",0.6437674760818481,,Federal Register Vol Tuesday January Proposed rule Federal Bureau Investigation internet Crime Complaint Center internet Crime Report access available Cybercriminals Fraudsters bad actor exploit Financial System Pandemic virtual hearing Subcommittee National Security International Development Monetary Policy House Committee Financial Services Congress write statement Tom Kellerman Head Cybersecurity Strategy VMware available define propose rule security incident occurrence result actual potential harm confidentiality integrity availability information system information system process store transmit constitute violation imminent threat violation security policy security procedure acceptable use policy,['Computer Security Incident Actual/Potential Standard']
"2304 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  18September 30, 2020 Call Report Data. 19NAICS code 5415 most likely contains many  firms that are not bank service providers, so the  agencies believe using the population of firms in this industry is an overestimate. However, there may be some bank service providers that do not self-identify under NAICS code 5415.   20See U.S. Census Bureau, 2017 SUSB Annual  Data Tables by Establishment Industry (Mar. 2020),  https://www.census.gov/data/tables/2017/econ/ susb/2017-susb-annual.html.",0.6389017105102539,,Federal Register Vol Tuesday January Proposed rule Report Data code likely contain firm bank service provider agency believe population firm industry overestimate bank service provider self identify NAICS code Census Bureau susb Annual Data Tables Establishment Industry susb,"['Service Provider - immediate Notification', 'Bank Service Provider Definition', 'Service Provider Notification of 2 People']"
"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.637518584728241,,Federal Register Vol Tuesday January Proposed Rules policy security procedure acceptable use policy notification incident computer security incident banking organization believe good faith materially disrupt degrade impair ability banking organization carry banking operation activity process deliver banking product service material portion customer base ordinary course business ii business line banking organization include associated operation service function support result material loss revenue profit franchise value iii operation banking organization include associate service function support applicable failure discontinuance pose threat financial stability United States,[]
"This section of the FEDERAL REGISTER contains notices to the public of the proposedissuance of rules and regulations. Thepurpose of these notices is to give interestedpersons an opportunity to participate in therule making prior to the adoption of the finalrules. Proposed RulesFederal Register2299  Vol. 86, No. 7  Tuesday, January 12, 2021  DEPARTMENT OF THE TREASURY  Office of the Comptroller of the  Currency  12 CFR Part 53  ",0.6297389268875122,,section FEDERAL REGISTER contain notice public proposedissuance rule regulation thepurpose notice interestedperson opportunity participate therule make prior adoption finalrule propose RulesFederal Vol Tuesday January DEPARTMENT TREASURY Office Comptroller currency CFR,['36-Hour Notice Period']
"2309 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  38Codified at 12 U.S.C. 4809. 39Public Law 103–325, 108 Stat. 2160.   4012 U.S.C. 4802(b)(1).",0.6285067796707153,,Federal Register Vol Tuesday January Proposed rule Law Stat,[]
"2308 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  29See 13 CFR 121.201; 84 FR 34261 (July 18,  2019).   30State member bank data is derived from March  31, 2020 Call Reports. Data for bank holding  companies and savings and loan holding companies are derived from the June 30, 2020, FR Y–9C and FR Y–9SP.",0.6174346208572388,,Federal Register Vol Tuesday January Proposed rule CFR FR July member bank datum derive March Reports datum bank hold company saving loan hold company derive June FR FR,[]
"This section of the FEDERAL REGISTER contains notices to the public of the proposedissuance of rules and regulations. Thepurpose of these notices is to give interestedpersons an opportunity to participate in therule making prior to the adoption of the finalrules. Proposed RulesFederal Register2299  Vol. 86, No. 7  Tuesday, January 12, 2021  DEPARTMENT OF THE TREASURY  Office of the Comptroller of the  Currency  12 CFR Part 53  ",0.6138753294944763,,section FEDERAL REGISTER contain notice public proposedissuance rule regulation thepurpose notice interestedperson opportunity participate therule make prior adoption finalrule propose RulesFederal Vol Tuesday January DEPARTMENT TREASURY Office Comptroller currency CFR,['36-Hour Notice Period']
"2302 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  1212 U.S.C. 1867(c)(2).   13See 12 U.S.C. 1, 93a, 161, 481, 1463, 1464,  1861–1867, and 3102 (OCC); 12 U.S.C. 321–338a,  1467a(g), 1818(b), 1844(b), 1861–1867, 3101 et seq.,  and 5365 (Board); 12 U.S.C. 1463, 1811, 1813, 1817, 1819, and 1861–1867 (FDIC). 14See 12 U.S.C. 1863–64.  ",0.6102700233459473,,Federal Register Vol Tuesday January Proposed rule OCC et seq Board FDIC,[]
"2309 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  38Codified at 12 U.S.C. 4809. 39Public Law 103–325, 108 Stat. 2160.   4012 U.S.C. 4802(b)(1).",0.6088044047355652,,Federal Register Vol Tuesday January Proposed rule Law Stat,[]
